university_name,university_financing_type_name
Академія зовнішньої розвідки України,Державна
"Відокремлений структурний підрозділ ""Інститут інноваційної освіти Київського національного університету будівництва і архітектури""",Державна
"Відокремлений структурний підрозділ ""Київський фаховий коледж міського господарства Таврійського національного університету імені В.І. Вернадського""",Державна
"Відокремлений структурний підрозділ ""Фаховий коледж інформаційних технологій та землевпорядкування Національного авіаційного університету""",Державна
Військовий інститут телекомунікацій та інформатизації імені Героїв Крут,Державна
Воєнно-дипломатична академія імені Євгенія Березняка,Державна
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""",Державна
"Державний заклад вищої освіти ""Університет менеджменту освіти""",Державна
"Державний заклад ""Державна екологічна академія післядипломної освіти та управління""",Державна
Державний торговельно-економічний університет,Державна
Державний університет інфраструктури та технологій,Державна
Державний університет телекомунікацій,Державна
Інститут державного управління та наукових досліджень з цивільного захисту,Державна
Інститут підготовки кадрів державної служби зайнятості України,Державна
Інститут Управління державної охорони України Київського національного університету імені Тараса Шевченка,Державна
Інститут управління і права Національного юридичного університету імені Ярослава Мудрого,Державна
Київська державна академія декоративно-прикладного мистецтва і дизайну імені Михайла Бойчука,Державна
Київський державний фаховий хореографічний коледж,Державна
КИЇВСЬКИЙ ІНСТИТУТ НАЦІОНАЛЬНОЇ ГВАРДІЇ УКРАЇНИ,Державна
Київський коледж економіки та менеджменту Міжгалузевої академії управління,Державна
Київський навчально-консультаційний пункт Національного університету кораблебудування імені адмірала Макарова,Державна
Київський навчально-науковий центр Одеської національної академії зв'язку ім. О.С. Попова,Державна
Київський національний лінгвістичний університет,Державна
Київський національний університет будівництва і архітектури,Державна
Київський національний університет імені Тараса Шевченка,Державна
Київський національний університет культури і мистецтв,Державна
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",Державна
Київський національний університет технологій та дизайну,Державна
Київський університет права Національної академії наук України,Державна
Луганська державна академія культури і мистецтв,Державна
Маріупольська філія Національної академії образотворчого мистецтва і архітектури,Державна
Маріупольський державний університет,Державна
Національна академія внутрішніх справ,Державна
Національна академія керівних кадрів культури і мистецтв,Державна
Національна академія образотворчого мистецтва і архітектури,Державна
Національна академія Служби безпеки України,Державна
"Національна академія статистики, обліку та аудиту",Державна
Національна музична академія України імені П.І. Чайковського,Державна
Національний авіаційний університет,Державна
Національний медичний університет імені О.О. Богомольця,Державна
Національний педагогічний університет імені М.П. Драгоманова,Державна
Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,Державна
Національний транспортний університет,Державна
Національний університет біоресурсів і природокористування України,Державна
"Національний університет ""Києво-Могилянська академія""",Державна
Національний університет оборони України імені Івана Черняховського,Державна
Національний університет охорони здоров’я України імені П. Л. Шупика,Державна
Національний університет фізичного виховання і спорту України,Державна
Національний університет харчових технологій,Державна
Таврійський національний університет імені В.І.Вернадського,Державна
Український інститут розвитку фондового ринку,Державна
"Фаховий коледж бізнесу та аналітики Національної академії статистики, обліку та аудиту",Державна
